PERÍODO,PRODUCCIÓN,VENTAS AL CORTE,OTRAS VENTAS MDO. INTERNO,EXPORTACIONES
2008-01-01,47251.0,0.0,1.0,43599.0
2008-02-01,38747.0,0.0,0.0,25147.0
2008-03-01,42095.0,0.0,264.0,52150.0
2008-04-01,43881.0,0.0,0.0,55907.0
2008-05-01,51679.0,0.0,0.0,42214.0
2008-06-01,50726.0,0.0,0.0,25295.0
2008-07-01,71888.0,0.0,0.0,61050.0
2008-08-01,91595.0,0.0,0.0,85583.0
2008-09-01,83924.0,0.0,0.0,108330.0
2008-10-01,97429.0,0.0,0.0,92242.0
2008-11-01,79530.0,0.0,0.0,39028.0
2008-12-01,13119.0,0.0,0.0,49675.0
2009-01-01,18355.0,0.0,0.0,27500.0
2009-02-01,47673.0,0.0,17.0,47025.0
2009-03-01,76655.0,0.0,55.0,67849.0
2009-04-01,80577.0,0.0,26.0,84925.0
2009-05-01,90288.0,0.0,0.0,91690.0
2009-06-01,103000.0,0.0,0.0,94319.0
2009-07-01,125872.0,0.0,0.0,133120.0
2009-08-01,123928.0,0.0,0.0,124775.0
2009-09-01,137501.0,0.0,29.0,142273.0
2009-10-01,130614.0,0.0,15.0,105600.0
2009-11-01,131458.0,0.0,108.0,96318.0
2009-12-01,113182.0,0.0,176.0,126889.0
2010-01-01,140247.0,0.0,204.0,153569.0
2010-02-01,112508.0,212.0,222.0,110306.0
2010-03-01,107929.0,23579.0,166.0,67800.0
2010-04-01,141733.0,54041.0,140.0,107779.0
2010-05-01,159105.0,52618.0,132.0,79757.0
2010-06-01,160019.0,51415.0,452.0,142420.0
2010-07-01,165098.0,48701.0,824.0,97865.0
2010-08-01,164382.0,54630.0,1273.0,136329.0
2010-09-01,157835.0,60172.0,792.0,84151.0
2010-10-01,180593.0,51001.0,201.0,130959.0
2010-11-01,177578.0,53800.0,340.0,102345.0
2010-12-01,153358.0,53156.0,495.0,129039.0
2011-01-01,151848.0,51567.0,341.0,105431.0
2011-02-01,140363.0,47034.0,181.0,93625.0
2011-03-01,187813.0,61711.0,256.0,113189.0
2011-04-01,201369.0,61020.0,78.0,119867.0
2011-05-01,219703.0,63499.0,2573.0,133987.0
2011-06-01,210080.0,65633.0,816.0,151333.0
2011-07-01,222315.0,57802.0,3053.0,157789.0
2011-08-01,223808.0,64124.0,810.0,155776.0
2011-09-01,208434.0,57055.0,212.0,160029.0
2011-10-01,234989.0,66074.0,239.0,198010.0
2011-11-01,209900.0,70065.0,378.0,97477.0
2011-12-01,219342.0,73902.0,319.0,162839.0
2012-01-01,257933.0,68775.0,3015.0,141377.0
2012-02-01,240003.0,63202.0,306.0,155460.0
2012-03-01,212499.0,67534.0,149.0,149417.0
2012-04-01,236400.0,68418.0,0.0,187498.0
2012-05-01,238838.0,83289.0,7599.0,116280.0
2012-06-01,231039.0,82469.0,17963.0,163900.0
2012-07-01,246371.0,87729.0,12942.0,181012.0
2012-08-01,233859.0,78277.0,6880.0,155776.0
2012-09-01,133081.0,37633.0,89.0,76900.0
2012-10-01,138008.0,54170.0,526.0,72525.0
2012-11-01,153248.0,71436.0,436.0,68305.0
2012-12-01,135299.0,61462.0,495.0,74643.0
2013-01-01,158499.0,68819.0,51.0,107250.0
2013-02-01,113745.0,60434.0,505.0,45000.0
2013-03-01,117664.0,67259.0,16.0,89700.0
2013-04-01,160321.0,71070.0,16.0,84500.0
2013-05-01,120693.0,83137.0,0.0,7620.0
2013-06-01,144813.0,84616.0,0.0,35000.0
2013-07-01,190969.0,77187.0,0.0,91060.0
2013-08-01,193324.0,73614.0,0.0,178095.0
2013-09-01,224570.0,76025.0,0.0,121664.0
2013-10-01,245438.0,78663.0,0.0,196624.0
2013-11-01,218046.0,74364.0,30.0,175996.0
2013-12-01,109727.0,69170.0,0.0,16750.0
2014-01-01,140472.0,74656.0,0.0,34321.0
